order_id,order_date,customer_id,product,category,quantity,price,city
1001,2023-05-21,C328,Sneakers,Fashion,1,2835,Bangalore
1002,2023-10-07,C704,Headphones,Electronics,1,3212,Mumbai
1003,2023-04-22,C617,Shoes,Fashion,1,2029,Bangalore
1004,2023-11-29,C325,Jacket,Fashion,1,3073,Kolkata
1005,2023-01-04,C814,T-shirt,Fashion,5,729,Delhi
1006,2023-04-21,C204,Shoes,Fashion,3,2277,Chennai
1007,2023-06-26,C926,Mobile,Electronics,4,16773,Hyderabad
1008,2023-07-13,C665,Laptop,Electronics,4,60869,Mumbai
1009,2023-07-05,C821,Tablet,Electronics,5,28854,Bangalore
1010,2023-05-29,C975,Mobile,Electronics,1,21290,Mumbai
1011,2023-08-21,C266,Smartwatch,Electronics,1,14280,Chennai
1012,2023-05-17,C723,Camera,Electronics,3,39771,Mumbai
1013,2023-05-06,C573,Sneakers,Fashion,2,3547,Delhi
1014,2023-11-24,C801,Shoes,Fashion,3,2989,Bangalore
1015,2023-01-17,C510,Camera,Electronics,1,40122,Chennai
1016,2023-10-18,C317,Tablet,Electronics,1,22109,Chennai
1017,2023-11-26,C246,Sneakers,Fashion,4,3353,Ahmedabad
1018,2023-10-15,C864,Tablet,Electronics,2,22466,Hyderabad
1019,2023-07-24,C324,Jacket,Fashion,4,3477,Chennai
1020,2023-01-25,C256,Headphones,Electronics,5,2992,Mumbai
1021,2023-08-05,C494,Sneakers,Fashion,2,3908,Mumbai
1022,2023-09-28,C666,Shoes,Fashion,5,2996,Hyderabad
1023,2023-02-28,C887,Washing Machine,Appliances,1,30019,Hyderabad
1024,2023-08-11,C564,Sneakers,Fashion,3,2956,Delhi
1025,2023-04-02,C991,Laptop,Electronics,3,71325,Mumbai
1026,2023-09-17,C256,Sneakers,Fashion,3,3978,Bangalore
1027,2023-09-29,C713,Camera,Electronics,2,45708,Pune
1028,2023-07-05,C345,Camera,Electronics,4,36350,Hyderabad
1029,2023-02-10,C849,Laptop,Electronics,2,69072,Mumbai
1030,2023-09-30,C231,T-shirt,Fashion,1,952,Delhi
1031,2023-03-26,C640,Sneakers,Fashion,4,4125,Hyderabad
1032,2023-04-19,C830,Washing Machine,Appliances,5,27139,Bangalore
1033,2023-11-29,C548,Tablet,Electronics,4,29951,Chennai
1034,2023-05-07,C165,Air Conditioner,Appliances,5,39223,Bangalore
1035,2023-04-28,C107,Camera,Electronics,1,46589,Bangalore
1036,2023-01-17,C172,Mobile,Electronics,1,17831,Chennai
1037,2023-09-06,C652,Jeans,Fashion,2,1367,Bangalore
1038,2023-05-05,C926,Headphones,Electronics,5,3091,Ahmedabad
1039,2023-12-04,C462,Shoes,Fashion,2,2094,Kolkata
1040,2023-01-28,C162,Shoes,Fashion,4,2467,Mumbai
1041,2023-02-25,C296,Shoes,Fashion,3,2800,Bangalore
1042,2023-08-05,C385,Smartwatch,Electronics,5,14691,Delhi
1043,2023-02-08,C927,T-shirt,Fashion,2,919,Ahmedabad
